id	type	description_short
4283	EtcItem 	Frog Prince
4284	EtcItem 	Fly Powder
4285	EtcItem 	Calculator
4286	EtcItem 	Gemstone Beast's Crystal
4287	EtcItem 	Titan's Powerstone
4288	EtcItem 	Hanellin's 1st Letter
4289	EtcItem 	Hanellin's 2nd Letter
4290	EtcItem 	Hanellin's 3rd Letter
4291	EtcItem 	1st Key of Ark
4292	EtcItem 	2nd Key of Ark
4293	EtcItem 	3rd Key of Ark
4294	EtcItem 	White Fabric
4295	EtcItem 	Blooded Fabric
4296	EtcItem 	Order of Gosta
4297	EtcItem 	Lizard Fang
4298	EtcItem 	Barrel of League
4299	EtcItem 	Operation Document - 1/10
4300	EtcItem 	Operation Document - 2/10
4301	EtcItem 	Operation Document - 3/10
4302	EtcItem 	Operation Document - 4/10
4303	EtcItem 	Operation Document - 5/10
4304	EtcItem 	Operation Document - 6/10
4305	EtcItem 	Operation Document - 7/10
4306	EtcItem 	Operation Document - 8/10
4307	EtcItem 	Operation Document - 9/10
4308	EtcItem 	Operation Document - 10/10
4309	EtcItem 	Completed Operation Order
4310	EtcItem 	Iason Heine's Bill
4311	EtcItem 	Gillian's Diary
4312	EtcItem 	Gillian's Notes
4313	EtcItem 	Unfinished Music
4314	EtcItem 	Gillian's Heart
4315	EtcItem 	Gandi Tribe's Relic
4316	EtcItem 	Swan's Flute
4317	EtcItem 	Swan's Letter
4318	EtcItem 	Event Clothes
4319	EtcItem 	Nanarin's Flute
4320	EtcItem 	Sabrin's Black Beer
4321	EtcItem 	Stolen Black Beer
4322	EtcItem 	Stolen Event Clothes
4323	EtcItem 	Clothes Chest Key
4324	EtcItem 	Beer Chest Key
4325	EtcItem 	Fairy Leaf
4326	EtcItem 	Ratman Scavenger's Skull
4327	EtcItem 	Turek War Hound's Tail
4328	EtcItem 	Tyrant Kingpin's Heart
4329	EtcItem 	Trisalim Tarantula's Venom Sac
4330	EtcItem 	Penitent's Manacles
4331	EtcItem 	Manual of Manacles
4332	EtcItem 	Tarlk Amulet
4333	EtcItem 	Contest Certificate
4334	EtcItem 	Ant's Ichor
4335	EtcItem 	Noble Ant's Nerve Tissue
4336	EtcItem 	Casian's Enzyme
4337	EtcItem 	Alligator Leather
4338	EtcItem 	Blue Back Alligator Leather
4339	EtcItem 	Jewel Studded Alligator Leather
4340	EtcItem 	Certificate of Approval to Create a Belt
4341	EtcItem 	Certificate of Approval to Create a Purse
4342	EtcItem 	Water Crystal
4343	EtcItem 	Fire Crystal
4344	EtcItem 	Wind Crystal
4345	EtcItem 	Earth Crystal
4346	EtcItem 	Dark Crystal
4347	EtcItem 	Crystal of Light
4348	EtcItem 	Jade Crystal
4349	EtcItem 	Bust of Ancient Goddess
4350	EtcItem 	The Work of the ancient sculptor Berona
4351	EtcItem 	Ancient Statue of Goddess: Prototype
4352	EtcItem 	Ancient Statue of Goddess: Original
4353	EtcItem 	Ancient Statue of Goddess: Replica
4354	EtcItem 	Ancient Statue of Goddess: Forgery
4355	EtcItem 	Blue Eva
4356	EtcItem 	Gold Einhasad
4357	EtcItem 	Silver Shilen
4358	EtcItem 	Bloody Pa'agrio
4359	EtcItem 	Barrel of Liquor
4360	EtcItem 	Precious Scarab
4361	EtcItem 	Simbelmyne
4362	EtcItem 	Odd (looking) Doll
4363	EtcItem 	Scarlet Dress
4364	EtcItem 	Nebulite Orb
4365	EtcItem 	Ectoplasm Liqueur
4366	EtcItem 	Prince's Trophy
4367	EtcItem 	Prince's Autobiography
4368	EtcItem 	Prince's Bust
4369	EtcItem 	Silk Handkerchief
4370	EtcItem 	Luxurious Goblet
4371	EtcItem 	Scepter of Darkness
4372	EtcItem 	Succubus Perfume
4373	EtcItem 	Succubus Mirror
4374	EtcItem 	Heart of Darkness
4375	EtcItem 	Royal Orc Totem
4376	EtcItem 	Pearl Trodden/Trampled By A Wild Hog
4377	EtcItem 	Boar's Tusk
4378	EtcItem 	Sweet Potato
4379	EtcItem 	Beast's Claws
4380	EtcItem 	Beast's Mane
4381	EtcItem 	Ginseng Root
4382	EtcItem 	Honey Jar
4383	EtcItem 	Bear's Gall
4384	EtcItem 	Fresh Samon
4385	EtcItem 	Sushi Riceball
4386	EtcItem 	Avellan Spice
4387	EtcItem 	Lucky Rabbit Weed
4388	EtcItem 	Malcom's Check
4389	EtcItem 	Deposit Box Key
4390	EtcItem 	Dwarven Royal Seal
4391	EtcItem 	Dwarven Royal Crown
4392	EtcItem 	Dwarven Dance Manual
4393	EtcItem 	Calculator
4394	EtcItem 	Hanellin's White Flower
4395	EtcItem 	Hanellin's Red Flower
4396	EtcItem 	Hanellin's Yellow Flower
4397	EtcItem 	Book of Saint
4398	EtcItem 	Blood of Saint
4399	EtcItem 	Bough of Saint
4400	EtcItem 	White Fabric
4401	EtcItem 	Green Dimensional Stone
4402	EtcItem 	Blue Dimensional Stone
4403	EtcItem 	Red Dimensional Stone
4404	EtcItem 	Green Dimensional Stone - Shard
4405	EtcItem 	Blue Dimensional Stone - Shard
4406	EtcItem 	Red Dimensional Stone - Shard
4407	EtcItem 	Bill of Iason Heine
4408	EtcItem 	Musical Score - Theme of Love
4409	EtcItem 	Musical Score - Theme of Battle
4410	EtcItem 	Musical Score - Theme of Journey
4411	EtcItem 	Echo Crystal - Theme of Journey
4412	EtcItem 	Echo Crystal - Theme of Battle
4413	EtcItem 	Echo Crystal - Theme of Love
4414	EtcItem 	Echo Crystal - Theme of Solitude
4415	EtcItem 	Echo Crystal - Theme of the Feast
4416	EtcItem 	Echo Crystal - Theme of Celebration
4417	EtcItem 	Echo Crystal - Theme of Comedy
4418	EtcItem 	Musical Score - Theme of Celebration
4419	EtcItem 	Musical Score - Theme of Comedy
4420	EtcItem 	Musical Score - Theme of Solitude
4421	EtcItem 	Musical Score - Theme of the Feast
4422	EtcItem 	Dragon Bugle of Wind
4423	EtcItem 	Dragon Bugle of Star
4424	EtcItem 	Dragon Bugle of Twilight
4425	EtcItem 	Penitent's Manacles
4426	EtcItem 	Manacles of Penitent
4427	EtcItem 	Alligator Leather Belt
4428	EtcItem 	Blue Alligator Leather Belt
4429	EtcItem 	Bejeweled Leather Belt
4430	EtcItem 	Alligator Leather Purse
4431	EtcItem 	Blue Alligator Leather Purse
4432	EtcItem 	Bejeweled Purse
4433	EtcItem 	Elemental Stone Powder
4434	EtcItem 	Elemental Stone Shards
4435	EtcItem 	Elemental Stone Lump
4436	EtcItem 	Bentley's Request
4437	EtcItem 	Carson's Request
4438	EtcItem 	Knuckle Duster Edge
4439	EtcItem 	Avadon Shield Fragment
4440	EtcItem 	Recipe: Knuckle Duster
4441	EtcItem 	Recipe: Avadon Shield
4442	EtcItem 	Lottery Ticket
4443	EtcItem 	Monster Race Ticket - Single
4444	EtcItem 	Monster Race Ticket - Double
4445	EtcItem 	Dye of STR (Str+1 Con-3)
4446	EtcItem 	Dye of STR (Str+1 Dex-3)
4447	EtcItem 	Dye of CON (Con+1 Str-3)
4448	EtcItem 	Dye of CON (Con+1 Dex-3)
4449	EtcItem 	Dye of DEX (Dex+1 Str-3)
4450	EtcItem 	Dye of DEX (Dex+1 Con-3)
4451	EtcItem 	Dye of INT (Int+1 Men-3)
4452	EtcItem 	Dye of INT (Int+1 Wit-3)
4453	EtcItem 	Dye of MEN (Men+1 Int-3)
4454	EtcItem 	Dye of MEN (Men+1 Wit-3)
4455	EtcItem 	Dye of WIT (Wit+1 Int-3)
4456	EtcItem 	Dye of WIT (Wit+1 Men-3)
4457	EtcItem 	Dye of STR (Str+1 Con-2)
4458	EtcItem 	Dye of STR (Str+1 Dex-2)
4459	EtcItem 	Dye of CON (Con+1 Str-2)
4460	EtcItem 	Dye of CON (Con+1 Dex-2)
4461	EtcItem 	Dye of DEX (Dex+1 Str-2)
4462	EtcItem 	Dye of DEX (Dex+1 Con-2)
4463	EtcItem 	Dye of INT (Int+1 Men-2)
4464	EtcItem 	Dye of INT (Int+1 Wit-2)
4465	EtcItem 	Dye of MEN (Men+1 Int-2)
4466	EtcItem 	Dye of MEN (Men+1 Wit-2)
4467	EtcItem 	Dye of WIT (Wit+1 Int-2)
4468	EtcItem 	Dye of WIT (Wit+1 Men-2)
4469	EtcItem 	Dye of STR (Str+1 Con-1)
4470	EtcItem 	Dye of STR (Str+1 Dex-1)
4471	EtcItem 	Dye of CON (Con+1 Str-1)
4472	EtcItem 	Dye of CON (Con+1 Dex-1)
4473	EtcItem 	Dye of DEX (Dex+1 Str-1)
4474	EtcItem 	Dye of DEX (Dex+1 Con-1)
4475	EtcItem 	Dye of INT (Int+1 Men-1)
4476	EtcItem 	Dye of INT (Int+1 Wit-1)
4477	EtcItem 	Dye of MEN (Men+1 Int-1)
4478	EtcItem 	Dye of MEN (Men+1 Wit-1)
4479	EtcItem 	Dye of WIT (Wit+1 Int-1)
4480	EtcItem 	Dye of WIT (Wit+1 Men-1)
4481	EtcItem 	Greater Dye of STR (Str+1 Con-3)
4482	EtcItem 	Greater Dye of STR (Str+1 Dex-3)
4483	EtcItem 	Greater Dye of CON(Con+1 Str-3)
4484	EtcItem 	Greater Dye of CON(Con+1 Dex-3)
4485	EtcItem 	Greater Dye of DEX (Dex+1 Str-3)
4486	EtcItem 	Greater Dye of DEX (Dex+1 Con-3)
4487	EtcItem 	Greater Dye of INT (Int+1 Men-3)
4488	EtcItem 	Greater Dye of INT (Int+1 Wit-3)
4489	EtcItem 	Greater Dye of MEN (Men+1 Int-3)
4490	EtcItem 	Greater Dye of MEN (Men+1 Wit-3)
4491	EtcItem 	Greater Dye of WIT (Wit+1 Int-3)
4492	EtcItem 	Greater Dye of WIT (Wit+1 Men-3)
4493	EtcItem 	Greater Dye of STR (Str+1 Con-2)
4494	EtcItem 	Greater Dye of STR (Str+1 Dex-2)
4495	EtcItem 	Greater Dye of CON (Con+1 Str-2)
4496	EtcItem 	Greater Dye of CON (Con+1 Dex-2)
4497	EtcItem 	Greater Dye of DEX (Dex+1 Str-2)
4498	EtcItem 	Greater Dye of DEX (Dex+1 Con-2)
4499	EtcItem 	Greater Dye of INT (Int+1 Men-2)
4500	EtcItem 	Greater Dye of INT (Int+1 Wit-2)
4501	EtcItem 	Greater Dye of MEN (Men+1 Int-2)
4502	EtcItem 	Greater Dye of MEN (Men+1 Wit-2)
4503	EtcItem 	Greater Dye of WIT (Wit+1 Int-2)
4504	EtcItem 	Greater Dye of WIT (Wit+1 Men-2)
4505	EtcItem 	Greater Dye of STR (Str+2 Con-4)
4506	EtcItem 	Greater Dye of STR (Str+2 Dex-4)
4507	EtcItem 	Greater Dye of CON (Con+2 Str-4)
4508	EtcItem 	Greater Dye of CON (Con+2 Dex-4)
4509	EtcItem 	Greater Dye of DEX (Dex+2 Str-4)
4510	EtcItem 	Greater Dye of DEX (Dex+2 Con-4)
4511	EtcItem 	Greater Dye of INT (Int+2 Men-4)
4512	EtcItem 	Greater Dye of INT (Int+2 Wit-4)
4513	EtcItem 	Greater Dye of MEN (Men+2 Int-4)
4514	EtcItem 	Greater Dye of MEN (Men+2 Wit-4)
4515	EtcItem 	Greater Dye of WIT (Wit+2 Int-4)
4516	EtcItem 	Greater Dye of WIT (Wit+2 Men-4)
4517	EtcItem 	Greater Dye of STR (Str+2 Con-3)
4518	EtcItem 	Greater Dye of STR (Str+2 Dex-3)
4519	EtcItem 	Greater Dye of CON (Con+2 Str-3)
4520	EtcItem 	Greater Dye of CON (Con+2 Dex-3)
4521	EtcItem 	Greater Dye of DEX (Dex+2 Str-3)
4522	EtcItem 	Greater Dye of DEX (Dex+2 Con-3)
4523	EtcItem 	Greater Dye of INT (Int+2 Men-3)
4524	EtcItem 	Greater Dye of INT (Int+2 Wit-3)
4525	EtcItem 	Greater Dye of MEN (Men+2 Int-3)
4526	EtcItem 	Greater Dye of MEN (Men+2 Wit-3)
4527	EtcItem 	Greater Dye of WIT (Wit+2 Int-3)
4528	EtcItem 	Greater Dye of WIT (Wit+2 Men-3)
4529	EtcItem 	Greater Dye of STR (Str+3 Con-5)
4530	EtcItem 	Greater Dye of STR (Str+3 Dex-5)
4531	EtcItem 	Greater Dye of CON (Con+3 Str-5)
4532	EtcItem 	Greater Dye of CON (Con+3 Dex-5)
4533	EtcItem 	Greater Dye of DEX (Dex+3 Str-5)
4534	EtcItem 	Greater Dye of DEX (Dex+3 Con-5)
4535	EtcItem 	Greater Dye of INT (Int+3 Men-5)
4536	EtcItem 	Greater Dye of INT (Int+3 Wit-5)
4537	EtcItem 	Greater Dye of MEN (Men+3 Int-5)
4538	EtcItem 	Greater Dye of MEN (Men+3 Wit-5)
4539	EtcItem 	Greater Dye of WIT (Wit+3 Int-5)
4540	EtcItem 	Greater Dye of WIT (Wit+3 Men-5)
4541	EtcItem 	Greater Dye of STR (Str+3 Con-4)
4542	EtcItem 	Greater Dye of STR (Str+3 Dex-4)
4543	EtcItem 	Greater Dye of CON (Con+3 Str-4)
4544	EtcItem 	Greater Dye of CON (Con+3 Dex-4)
4545	EtcItem 	Greater Dye of DEX (Dex+3 Str-4)
4546	EtcItem 	Greater Dye of DEX (Dex+3 Con-4)
4547	EtcItem 	Greater Dye of INT (Int+3 Men-4)
4548	EtcItem 	Greater Dye of INT (Int+3 Wit-4)
4549	EtcItem 	Greater Dye of MEN (Men+3 Int-4)
4550	EtcItem 	Greater Dye of MEN (Men+3 Wit-4)
4551	EtcItem 	Greater Dye of WIT (Wit+3 Int-4)
4552	EtcItem 	Greater Dye of WIT (Wit+3 Men-4)
4553	EtcItem 	Greater Dye of STR (Str+1 Con-1)
4554	EtcItem 	Greater Dye of STR (Str+1 Dex-1)
4555	EtcItem 	Greater Dye of CON (Con+1 Str-1)
4556	EtcItem 	Greater Dye of CON (Con+1 Dex-1)
4557	EtcItem 	Greater Dye of DEX (Dex+1 Str-1)
4558	EtcItem 	Greater Dye of DEX (Dex+1 Con-1)
4559	EtcItem 	Greater Dye of INT (Int+1 Men-1)
4560	EtcItem 	Greater Dye of INT (Int+1 Wit-1)
4561	EtcItem 	Greater Dye of MEN (Men+1 Int-1)
4562	EtcItem 	Greater Dye of MEN (Men+1 Wit-1)
4563	EtcItem 	Greater Dye of WIT (Wit+1 Int-1)
4564	EtcItem 	Greater Dye of WIT (Wit+1 Men-1)
4565	EtcItem 	Greater Dye of STR (Str+4 Con-6)
4566	EtcItem 	Greater Dye of STR (Str+4 Dex-6)
4567	EtcItem 	Greater Dye of CON (Con+4 Str-6)
4568	EtcItem 	Greater Dye of CON (Con+4 Dex-6)
4569	EtcItem 	Greater Dye of DEX (Dex+4 Str-6)
4570	EtcItem 	Greater Dye of DEX (Dex+4 Con-6)
4571	EtcItem 	Greater Dye of INT (Int+4 Men-6)
4572	EtcItem 	Greater Dye of INT (Int+4 Wit-6)
4573	EtcItem 	Greater Dye of MEN (Men+4 Int-6)
4574	EtcItem 	Greater Dye of MEN (Men+4 Wit-6)
4575	EtcItem 	Greater Dye of WIT (Wit+4 Int-6)
4576	EtcItem 	Greater Dye of WIT (Wit+4 Men-6)
4577	EtcItem 	Greater Dye of STR (Str+4 Con-5)
4578	EtcItem 	Greater Dye of STR (Str+4 Dex-5)
4579	EtcItem 	Greater Dye of CON (Con+4 Str-5)
4580	EtcItem 	Greater Dye of CON (Con+4 Dex-5)
4581	EtcItem 	Greater Dye of DEX (Dex+4 Str-5)
4582	EtcItem 	Greater Dye of DEX (Dex+4 Con-5)
4583	EtcItem 	Greater Dye of INT (Int+4 Men-5)
4584	EtcItem 	Greater Dye of INT (Int+4 Wit-5)
4585	EtcItem 	Greater Dye of MEN (Men+4 Int-5)
4586	EtcItem 	Greater Dye of MEN (Men+4 Wit-5)
4587	EtcItem 	Greater Dye of WIT (Wit+4 Int-5)
4588	EtcItem 	Greater Dye of WIT (Wit+4 Men-5)
4589	EtcItem 	Greater Dye of STR (Str+2 Con-2)
4590	EtcItem 	Greater Dye of STR (Str+2 Dex-2)
4591	EtcItem 	Greater Dye of CON (Con+2 Str-2)
4592	EtcItem 	Greater Dye of CON (Con+2 Dex-2)
4593	EtcItem 	Greater Dye of DEX (Dex+2 Str-2)
4594	EtcItem 	Greater Dye of DEX (Dex+2 Con-2)
4595	EtcItem 	Greater Dye of INT (Int+2 Men-2)
4596	EtcItem 	Greater Dye of INT (Int+2 Wit-2)
4597	EtcItem 	Greater Dye of MEN (Men+2 Int-2)
4598	EtcItem 	Greater Dye of MEN (Men+2 Wit-2)
4599	EtcItem 	Greater Dye of WIT (Wit+2 Int-2)
4600	EtcItem 	Greater Dye of WIT (Wit+2 Men-2)
4601	EtcItem 	Greater Dye of STR (Str+3 Con-3)
4602	EtcItem 	Greater Dye of STR (Str+3 Dex-3)
4603	EtcItem 	Greater Dye of CON (Con+3 Str-3)
4604	EtcItem 	Greater Dye of CON (Con+3 Dex-3)
4605	EtcItem 	Greater Dye of DEX (Dex+3 Str-3)
4606	EtcItem 	Greater Dye of DEX (Dex+3 Con-3)
4607	EtcItem 	Greater Dye of INT (Int+3 Men-3)
4608	EtcItem 	Greater Dye of INT (Int+3 Wit-3)
4609	EtcItem 	Greater Dye of MEN (Men+3 Int-3)
4610	EtcItem 	Greater Dye of MEN (Men+3 Wit-3)
4611	EtcItem 	Greater Dye of WIT (Wit+3 Int-3)
4612	EtcItem 	Greater Dye of WIT (Wit+3 Men-3)
4613	EtcItem 	Greater Dye of STR (Str+4 Con-4)
4614	EtcItem 	Greater Dye of STR (Str+4 Dex-4)
4615	EtcItem 	Greater Dye of CON (Con+4 Str-4)
4616	EtcItem 	Greater Dye of CON (Con+4 Dex-4)
4617	EtcItem 	Greater Dye of DEX (Dex+4 Str-4)
4618	EtcItem 	Greater Dye of DEX (Dex+4 Con-4)
4619	EtcItem 	Greater Dye of INT (Int+4 Men-4)
4620	EtcItem 	Greater Dye of INT (Int+4 Wit-4)
4621	EtcItem 	Greater Dye of MEN (Men+4 Int-4)
4622	EtcItem 	Greater Dye of MEN (Men+4 Wit-4)
4623	EtcItem 	Greater Dye of WIT (Wit+4 Int-4)
4624	EtcItem 	Greater Dye of WIT (Wit+4 Men-4)
4625	EtcItem 	Dice (Heart)
4626	EtcItem 	Dice (Spade)
4627	EtcItem 	Dice (Clover)
4628	EtcItem 	Dice (Diamond)
4629	EtcItem 	Red Soul Crystal
4630	EtcItem 	Red Soul Crystal - Stage 1
4631	EtcItem 	Red Soul Crystal - Stage 2
4632	EtcItem 	Red Soul Crystal - Stage 3
4633	EtcItem 	Red Soul Crystal - Stage 4
4634	EtcItem 	Red Soul Crystal - Stage 5
4635	EtcItem 	Red Soul Crystal - Stage 6
4636	EtcItem 	Red Soul Crystal - Stage 7
4637	EtcItem 	Red Soul Crystal - Stage 8
4638	EtcItem 	Red Soul Crystal - Stage 9
4639	EtcItem 	Red Soul Crystal - Stage 10
4640	EtcItem 	Green Soul Crystal
4641	EtcItem 	Green Soul Crystal - Stage 1
4642	EtcItem 	Green Soul Crystal - Stage 2
4643	EtcItem 	Green Soul Crystal - Stage 3
4644	EtcItem 	Green Soul Crystal - Stage 4
4645	EtcItem 	Green Soul Crystal - Stage 5
4646	EtcItem 	Green Soul Crystal - Stage 6
4647	EtcItem 	Green Soul Crystal - Stage 7
4648	EtcItem 	Green Soul Crystal - Stage 8
4649	EtcItem 	Green Soul Crystal - Stage 9
4650	EtcItem 	Green Soul Crystal - Stage 10
4651	EtcItem 	Blue Soul Crystal
4652	EtcItem 	Blue Soul Crystal - Stage 1
4653	EtcItem 	Blue Soul Crystal - Stage 2
4654	EtcItem 	Blue Soul Crystal - Stage 3
4655	EtcItem 	Blue Soul Crystal - Stage 4
4656	EtcItem 	Blue Soul Crystal - Stage 5
4657	EtcItem 	Blue Soul Crystal - Stage 6
4658	EtcItem 	Blue Soul Crystal - Stage 7
4659	EtcItem 	Blue Soul Crystal - Stage 8
4660	EtcItem 	Blue Soul Crystal - Stage 9
4661	EtcItem 	Blue Soul Crystal - Stage 10
4662	EtcItem 	Broken Red Soul Crystal
4663	EtcItem 	Broken Green Soul Crystal
4664	EtcItem 	Broken Blue Soul Crystal
4665	Weapon 	Pipette Knife
4666	EtcItem 	Reiria's Soul Orb
4667	EtcItem 	Kernon's Infernium Scepter
4668	EtcItem 	Golkonda's Infernium Scepter
4669	EtcItem 	Hallate's Infernium Scepter
4670	EtcItem 	Maestro Reorin's Hammer
4671	EtcItem 	Maestro Reorin's Mold
4672	EtcItem 	Infernium Varnish
4673	EtcItem 	Red Pipette Knife
4674	EtcItem 	Medal of Honor
4675	EtcItem 	Medal of Friendship
4676	EtcItem 	Medal of Victory
4677	EtcItem 	Potion of Critical Escape
4678	EtcItem 	Decrease Haste Potion
4679	EtcItem 	Bless of Eva
4680	EtcItem 	Potion of Revenge
4681	Weapon 	Stormbringer - Critical Anger
4682	Weapon 	Stormbringer - Focus
4683	Weapon 	Stormbringer - Light
4684	Weapon 	Shamshir - Guidance
4685	Weapon 	Shamshir - Back Blow
4686	Weapon 	Shamshir - Rsk. Evasion
4687	Weapon 	Katana - Focus
4688	Weapon 	Katana - Critical Damage
4689	Weapon 	Katana - Haste
4690	Weapon 	Spirit Sword - Critical Damage
4691	Weapon 	Spirit Sword - Critical Poison
4692	Weapon 	Spirit Sword - Haste
4693	Weapon 	Raid Sword - Focus
4694	Weapon 	Raid Sword - Critical Drain
4695	Weapon 	Raid Sword - Critical Poison
4696	Weapon 	Caliburs - Guidance
4697	Weapon 	Caliburs - Focus
4698	Weapon 	Caliburs - Critical Damage
4699	Weapon 	Sword of Delusion - Focus
4700	Weapon 	Sword of Delusion - Health
4701	Weapon 	Sword of Delusion - Rsk. Haste
4702	Weapon 	Tsurugi - Focus
4703	Weapon 	Tsurugi - Critical Damage
4704	Weapon 	Tsurugi - Haste
4705	Weapon 	Sword of Nightmare - Health
4706	Weapon 	Sword of Nightmare - Focus
4707	Weapon 	Sword of Nightmare - Light
4708	Weapon 	Samurai Longsword - Focus
4709	Weapon 	Samurai Longsword - Critical Damage
4710	Weapon 	Samurai Longsword - Haste
4711	Weapon 	Flamberge - Critical Damage
4712	Weapon 	Flamberge - Focus
4713	Weapon 	Flamberge - Light
4714	Weapon 	Keshanberk - Guidance
4715	Weapon 	Keshanberk - Focus
4716	Weapon 	Keshanberk - Back Blow
4717	Weapon 	Sword of Damascus - Focus
4718	Weapon 	Sword of Damascus - Critical Damage
4719	Weapon 	Sword of Damascus - Haste
4720	Weapon 	Tallum Blade - Health
4721	Weapon 	Tallum Blade - Rsk. Evasion
4722	Weapon 	Tallum Blade - Rsk. Haste
4723	Weapon 	Great Sword - Health
4724	Weapon 	Great Sword - Critical Damage
4725	Weapon 	Great Sword - Focus
4726	Weapon 	Big Hammer - Health
4727	Weapon 	Big Hammer - Rsk. Focus
4728	Weapon 	Big Hammer - Haste
4729	Weapon 	Battle Axe - Anger
4730	Weapon 	Battle Axe - Rsk. Focus
4731	Weapon 	Battle Axe - Haste
4732	Weapon 	Silver Axe - Anger
4733	Weapon 	Silver Axe - Rsk. Focus
4734	Weapon 	Silver Axe - Haste
4735	Weapon 	Skull Graver - Anger
4736	Weapon 	Skull Graver - Health
4737	Weapon 	Skull Graver - Rsk. Focus
4738	Weapon 	Dwarven War Hammer - Anger
4739	Weapon 	Dwarven War Hammer - Health
4740	Weapon 	Dwarven War Hammer - Haste
4741	Weapon 	War Axe - Anger
4742	Weapon 	War Axe - Health
4743	Weapon 	War Axe - Haste
4744	Weapon 	Yaksa Mace - Anger
4745	Weapon 	Yaksa Mace - Health
4746	Weapon 	Yaksa Mace - Rsk. Focus
4747	Weapon 	Heavy War Axe - Anger
4748	Weapon 	Heavy War Axe - Health
4749	Weapon 	Heavy War Axe - Rsk. Focus
4750	Weapon 	Deadman's Glory - Anger
4751	Weapon 	Deadman's Glory - Health
4752	Weapon 	Deadman's Glory - Haste
4753	Weapon 	Art of Battle Axe - Health
4754	Weapon 	Art of Battle Axe - Rsk. Focus
4755	Weapon 	Art of Battle Axe - Haste
4756	Weapon 	Meteor Shower - Health
4757	Weapon 	Meteor Shower - Focus
4758	Weapon 	Meteor Shower - P.Focus
4759	Weapon 	Cursed Dagger - Critical Bleed
4760	Weapon 	Cursed Dagger - Critical Poison
4761	Weapon 	Cursed Dagger - Rsk. Haste
4762	Weapon 	Dark Elven Dagger - Focus
4763	Weapon 	Dark Elven Dagger - Back Blow
4764	Weapon 	Dark Elven Dagger - Mortal Strike
4765	Weapon 	Stiletto - Critical Bleed
4766	Weapon 	Stiletto - Critical Poison
4767	Weapon 	Stiletto - Mortal Strike
4768	Weapon 	Grace Dagger - Evasion
4769	Weapon 	Grace Dagger - Focus
4770	Weapon 	Grace Dagger - Back Blow
4771	Weapon 	Dark Screamer - Evasion
4772	Weapon 	Dark Screamer - Focus
4773	Weapon 	Dark Screamer - Critical Bleed
4774	Weapon 	Crystal Dagger - Critical Bleed
4775	Weapon 	Crystal Dagger - Critical Poison
4776	Weapon 	Crystal Dagger - Mortal Strike
4777	Weapon 	Kris - Evasion
4778	Weapon 	Kris - Focus
4779	Weapon 	Kris - Back Blow
4780	Weapon 	Demon's Dagger - Critical Bleed
4781	Weapon 	Demon's Dagger - Critical Poison
4782	Weapon 	Demon's Dagger - Mortal Strike
4783	Weapon 	Bloody Orchid - Evasion
4784	Weapon 	Bloody Orchid - Focus
4785	Weapon 	Bloody Orchid - Back Blow
4786	Weapon 	Hell Knife - Focus
4787	Weapon 	Hell Knife - Back Blow
4788	Weapon 	Hell Knife - Mortal Strike
4789	Weapon 	Chakram - Critical Drain
4790	Weapon 	Chakram - Critical Poison
4791	Weapon 	Chakram - Rsk. Haste
4792	Weapon 	Fisted Blade - Rsk. Evasion
4793	Weapon 	Fisted Blade - Rsk. Haste
4794	Weapon 	Fisted Blade - Haste
4795	Weapon 	Great Pata - Critical Drain
4796	Weapon 	Great Pata - Critical Poison
4797	Weapon 	Great Pata - Rsk. Haste
4798	Weapon 	Knuckle Duster - Rsk. Evasion
4799	Weapon 	Knuckle Duster - Rsk. Haste
4800	Weapon 	Knuckle Duster - Haste
4801	Weapon 	Arthro Nail - Critical Poison
4802	Weapon 	Arthro Nail - Rsk. Evasion
4803	Weapon 	Arthro Nail - Rsk. Haste
4804	Weapon 	Bellion Cestus - Critical Drain
4805	Weapon 	Bellion Cestus - Critical Poison
4806	Weapon 	Bellion Cestus - Rsk. Haste
4807	Weapon 	Blood Tornado - Critical Drain
4808	Weapon 	Blood Tornado - Rsk. Evasion
4809	Weapon 	Blood Tornado - Haste
4810	Weapon 	Crystallized Ice Bow - Guidance
4811	Weapon 	Crystallized Ice Bow - Evasion
4812	Weapon 	Crystallized Ice Bow - Quick Recovery
4813	Weapon 	Elemental Bow - Guidance
4814	Weapon 	Elemental Bow - Miser
4815	Weapon 	Elemental Bow - Quick Recovery
4816	Weapon 	Noble Elven Bow - Evasion
4817	Weapon 	Noble Elven Bow - Miser
4818	Weapon 	Noble Elven Bow - Cheap Shot
4819	Weapon 	Akat Long Bow - Guidance
4820	Weapon 	Akat Long Bow - Evasion
4821	Weapon 	Akat Long Bow - Miser
4822	Weapon 	Eminence Bow - Guidance
4823	Weapon 	Eminence Bow - Miser
4824	Weapon 	Eminence Bow - Cheap Shot
4825	Weapon 	Dark Elven Long Bow - Evasion
4826	Weapon 	Dark Elven Long Bow - Critical Bleed
4827	Weapon 	Dark Elven Long Bow - Miser
4828	Weapon 	Bow of Peril - Guidance
4829	Weapon 	Bow of Peril - Quick Recovery
4830	Weapon 	Bow of Peril - Cheap Shot
4831	Weapon 	Carnage Bow - Critical Bleed
4832	Weapon 	Carnage Bow - Mana Up
4833	Weapon 	Carnage Bow - Quick Recovery
4834	Weapon 	Scythe - Anger
4835	Weapon 	Scythe - Critical Stun
4836	Weapon 	Scythe - Light
4837	Weapon 	Orcish Glaive - Anger
